Scientific name	Authority	Status
Syrmaticus mikado	"(Ogilvie-Grant, 1906)"	R
Syrmaticus soemmerringii	"(Temminck, 1830)"	R
Syrmaticus reevesii	"(Gray, 1829)"	R
Phasianus colchicus	"(Linnaeus, 1758)"	R
Phasianus versicolor	"Vieillot, 1825"	UR
Chrysolophus pictus	"(Linnaeus, 1758)"	R
Chrysolophus amherstiae	"(Leadbeater, 1829)"	R
Polyplectron chalcurum	"Lesson, 1831"	R
Polyplectron inopinatum	"(Rothschild,1903)"	R
Polyplectron germaini	"Elliot, 1866"	R
Polyplectron bicalcaratum	"(Linnaeus, 1758)"	NR
Polyplectron bicalcaratum	"(Linnaeus, 1758)"	R
Polyplectron katsumatae	"Rothschild, 1906"	R
Polyplectron malacense	"(Scopoli, 1786)"	R
Polyplectron schleiermacheri	"Br�ggemann, 1877"	R
Polyplectron napoleonis	"Lesson, 1831"	R
Rheinardia ocellata	"(Elliot, 1871)"	R
Argusianus argus	"(Linnaeus, 1766)"	R
Argusianus bipunctatus	"(J. Wood, 1871)"	NR
Argusianus argus	"(Linnaeus, 1766)"	NR
Pavo cristatus	"Linnaeus, 1758"	R
Pavo muticus	"Linnaeus, 1766"	R
Afropavo congensis	"Chapin, 1936"	R
Anhima cornuta	"(Linnaeus, 1766)"	R
Chauna chavaria	"(Linnaeus, 1766)"	R
Chauna torquata	"(Oken, 1816)"	R
Anseranas semipalmata	"(Latham, 1798)"	R
Dendrocygna guttata	"Schlegel, 1866"	R
Dendrocygna eytoni	"(Eyton, 1838)"	R
Dendrocygna bicolor	"(Vieillot, 1816)"	R
Dendrocygna arcuata	"(Horsfield, 1824)"	R
Dendrocygna javanica	"(Horsfield, 1821)"	R
Dendrocygna viduata	"(Linnaeus, 1766)"	R
Dendrocygna arborea	"(Linnaeus, 1758)"	R
Dendrocygna autumnalis	"(Linnaeus, 1758)"	R
Thalassornis leuconotus	"Eyton, 1838"	R
Cereopsis novaehollandiae	"Latham, 1801"	R
Anser cygnoides	"(Linnaeus, 1758)"	R
Anser brachyrhynchus	"Baillon, 1834"	R
Anser fabalis	"(Latham, 1787)"	R
Anser middendorfi	"Severtsov, 1873"	NR
Anser serrirostris	"Swinhoe, 1871"	NR
Anser albifrons	"(Scopoli, 1769)"	R
Anser erythropus	"(Linnaeus, 1758)"	R
Anser anser	"(Linnaeus, 1758)"	R
Anser indicus	"(Latham, 1790)"	R
Chen caerulescens	"(Linnaeus, 1758)"	R
Chen rossii	"Cassin, 1861"	R
Chen canagica	"(Sevastianov, 1802)"	R
Branta canadensis	"(Linnaeus, 1758)"	NR
Branta canadensis	"(Linnaeus, 1758)"	R
Branta hutchinsii	"(Richardson, 1832)"	R
Branta sandvicensis	"(Vigors, 1834)"	R
